GPU: cuda:0 | Step:  216 | Updates:   54 | Time/step: 0.4726 | Tok/sec=  8667.20 | Loss: 4.0521 / log-ppl: 57.5166 | Grad-Norm 5.4965 | ClipCoef 0.1819 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  220 | Updates:   55 | Time/step: 0.5358 | Tok/sec=  7644.06 | Loss: 3.5555 / log-ppl: 35.0042 | Grad-Norm 5.7364 | ClipCoef 0.1743 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  224 | Updates:   56 | Time/step: 0.5037 | Tok/sec=  8132.13 | Loss: 3.5997 / log-ppl: 36.5871 | Grad-Norm 5.8604 | ClipCoef 0.1706 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  228 | Updates:   57 | Time/step: 0.4717 | Tok/sec=  8683.13 | Loss: 3.8393 / log-ppl: 46.4945 | Grad-Norm 5.7975 | ClipCoef 0.1725 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  232 | Updates:   58 | Time/step: 0.4926 | Tok/sec=  8315.86 | Loss: 3.3864 / log-ppl: 29.5605 | Grad-Norm 5.2736 | ClipCoef 0.1896 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  236 | Updates:   59 | Time/step: 0.4923 | Tok/sec=  8320.80 | Loss: 3.2480 / log-ppl: 25.7379 | Grad-Norm 6.8643 | ClipCoef 0.1457 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  240 | Updates:   60 | Time/step: 0.5245 | Tok/sec=  7808.62 | Loss: 3.6114 / log-ppl: 37.0196 | Grad-Norm 4.8516 | ClipCoef 0.2061 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  244 | Updates:   61 | Time/step: 0.5135 | Tok/sec=  7977.13 | Loss: 4.3566 / log-ppl: 77.9883 | Grad-Norm 6.9305 | ClipCoef 0.1443 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  248 | Updates:   62 | Time/step: 0.4825 | Tok/sec=  8489.51 | Loss: 4.9162 / log-ppl: 136.4838 | Grad-Norm 7.8780 | ClipCoef 0.1269 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  252 | Updates:   63 | Time/step: 0.4726 | Tok/sec=  8667.01 | Loss: 3.7061 / log-ppl: 40.6941 | Grad-Norm 7.4467 | ClipCoef 0.1343 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  256 | Updates:   64 | Time/step: 0.4835 | Tok/sec=  8472.13 | Loss: 4.1035 / log-ppl: 60.5490 | Grad-Norm 5.3690 | ClipCoef 0.1863 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  260 | Updates:   65 | Time/step: 0.4736 | Tok/sec=  8648.64 | Loss: 3.1651 / log-ppl: 23.6916 | Grad-Norm 5.9417 | ClipCoef 0.1683 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  264 | Updates:   66 | Time/step: 0.4722 | Tok/sec=  8673.89 | Loss: 4.2030 / log-ppl: 66.8893 | Grad-Norm 6.1009 | ClipCoef 0.1639 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  268 | Updates:   67 | Time/step: 0.5052 | Tok/sec=  8108.29 | Loss: 4.2859 / log-ppl: 72.6685 | Grad-Norm 5.5749 | ClipCoef 0.1794 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  272 | Updates:   68 | Time/step: 0.4629 | Tok/sec=  8847.88 | Loss: 3.3703 / log-ppl: 29.0875 | Grad-Norm 4.6277 | ClipCoef 0.2161 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  276 | Updates:   69 | Time/step: 0.5162 | Tok/sec=  7935.01 | Loss: 3.1210 / log-ppl: 22.6689 | Grad-Norm 5.1888 | ClipCoef 0.1927 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  280 | Updates:   70 | Time/step: 0.4842 | Tok/sec=  8459.54 | Loss: 3.5584 / log-ppl: 35.1060 | Grad-Norm 6.0177 | ClipCoef 0.1662 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  284 | Updates:   71 | Time/step: 0.4937 | Tok/sec=  8297.27 | Loss: 3.3416 / log-ppl: 28.2644 | Grad-Norm 4.3545 | ClipCoef 0.2296 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  288 | Updates:   72 | Time/step: 0.4937 | Tok/sec=  8296.14 | Loss: 3.6472 / log-ppl: 38.3679 | Grad-Norm 5.9051 | ClipCoef 0.1693 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  292 | Updates:   73 | Time/step: 0.5147 | Tok/sec=  7957.64 | Loss: 4.0811 / log-ppl: 59.2131 | Grad-Norm 4.8713 | ClipCoef 0.2053 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  296 | Updates:   74 | Time/step: 0.5254 | Tok/sec=  7795.62 | Loss: 3.0250 / log-ppl: 20.5944 | Grad-Norm 5.2318 | ClipCoef 0.1911 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  300 | Updates:   75 | Time/step: 0.4832 | Tok/sec=  8476.16 | Loss: 3.3807 / log-ppl: 29.3909 | Grad-Norm 3.8274 | ClipCoef 0.2613 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  304 | Updates:   76 | Time/step: 0.4837 | Tok/sec=  8468.65 | Loss: 2.8010 / log-ppl: 16.4613 | Grad-Norm 4.2105 | ClipCoef 0.2375 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  308 | Updates:   77 | Time/step: 0.4625 | Tok/sec=  8855.88 | Loss: 3.7070 / log-ppl: 40.7300 | Grad-Norm 5.7979 | ClipCoef 0.1725 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  312 | Updates:   78 | Time/step: 0.4739 | Tok/sec=  8642.63 | Loss: 2.7475 / log-ppl: 15.6035 | Grad-Norm 5.2887 | ClipCoef 0.1891 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  316 | Updates:   79 | Time/step: 0.4951 | Tok/sec=  8273.82 | Loss: 3.4099 / log-ppl: 30.2619 | Grad-Norm 4.0165 | ClipCoef 0.2490 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  320 | Updates:   80 | Time/step: 0.5058 | Tok/sec=  8098.23 | Loss: 3.3926 / log-ppl: 29.7419 | Grad-Norm 5.2143 | ClipCoef 0.1918 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  324 | Updates:   81 | Time/step: 0.4845 | Tok/sec=  8454.33 | Loss: 2.6296 / log-ppl: 13.8684 | Grad-Norm 5.6782 | ClipCoef 0.1761 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  328 | Updates:   82 | Time/step: 0.4740 | Tok/sec=  8641.17 | Loss: 2.7707 / log-ppl: 15.9696 | Grad-Norm 4.5481 | ClipCoef 0.2199 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  332 | Updates:   83 | Time/step: 0.5050 | Tok/sec=  8110.29 | Loss: 2.8265 / log-ppl: 16.8858 | Grad-Norm 6.2855 | ClipCoef 0.1591 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  336 | Updates:   84 | Time/step: 0.4956 | Tok/sec=  8265.11 | Loss: 3.2048 / log-ppl: 24.6515 | Grad-Norm 3.3789 | ClipCoef 0.2960 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  340 | Updates:   85 | Time/step: 0.5055 | Tok/sec=  8102.59 | Loss: 2.7767 / log-ppl: 16.0658 | Grad-Norm 4.6222 | ClipCoef 0.2163 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  344 | Updates:   86 | Time/step: 0.5060 | Tok/sec=  8094.23 | Loss: 2.8064 / log-ppl: 16.5510 | Grad-Norm 3.3843 | ClipCoef 0.2955 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  348 | Updates:   87 | Time/step: 0.5486 | Tok/sec=  7466.39 | Loss: 2.8640 / log-ppl: 17.5317 | Grad-Norm 5.2086 | ClipCoef 0.1920 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  352 | Updates:   88 | Time/step: 0.4955 | Tok/sec=  8266.19 | Loss: 2.6018 / log-ppl: 13.4884 | Grad-Norm 3.6711 | ClipCoef 0.2724 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  356 | Updates:   89 | Time/step: 0.5053 | Tok/sec=  8106.38 | Loss: 2.2667 / log-ppl: 9.6476 | Grad-Norm 5.0210 | ClipCoef 0.1992 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  360 | Updates:   90 | Time/step: 0.4849 | Tok/sec=  8447.76 | Loss: 2.7163 / log-ppl: 15.1236 | Grad-Norm 3.5298 | ClipCoef 0.2833 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  364 | Updates:   91 | Time/step: 0.4744 | Tok/sec=  8634.56 | Loss: 3.7735 / log-ppl: 43.5318 | Grad-Norm 3.4345 | ClipCoef 0.2912 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  368 | Updates:   92 | Time/step: 0.4632 | Tok/sec=  8842.08 | Loss: 2.9807 / log-ppl: 19.7023 | Grad-Norm 4.0445 | ClipCoef 0.2472 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  372 | Updates:   93 | Time/step: 0.4624 | Tok/sec=  8857.47 | Loss: 2.4593 / log-ppl: 11.6965 | Grad-Norm 4.7154 | ClipCoef 0.2121 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  376 | Updates:   94 | Time/step: 0.4836 | Tok/sec=  8469.41 | Loss: 2.4185 / log-ppl: 11.2293 | Grad-Norm 3.4168 | ClipCoef 0.2927 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  380 | Updates:   95 | Time/step: 0.5048 | Tok/sec=  8113.80 | Loss: 2.9917 / log-ppl: 19.9190 | Grad-Norm 3.2411 | ClipCoef 0.3085 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  384 | Updates:   96 | Time/step: 0.4957 | Tok/sec=  8263.16 | Loss: 2.6536 / log-ppl: 14.2046 | Grad-Norm 2.8276 | ClipCoef 0.3537 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  388 | Updates:   97 | Time/step: 0.4745 | Tok/sec=  8632.63 | Loss: 2.6128 / log-ppl: 13.6368 | Grad-Norm 4.4038 | ClipCoef 0.2271 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  392 | Updates:   98 | Time/step: 0.4848 | Tok/sec=  8448.29 | Loss: 2.5422 / log-ppl: 12.7074 | Grad-Norm 3.4220 | ClipCoef 0.2922 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  396 | Updates:   99 | Time/step: 0.4968 | Tok/sec=  8244.62 | Loss: 2.5016 / log-ppl: 12.2020 | Grad-Norm 4.8818 | ClipCoef 0.2048 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  400 | Updates:  100 | Time/step: 0.4637 | Tok/sec=  8833.78 | Loss: 3.0245 / log-ppl: 20.5843 | Grad-Norm 3.3730 | ClipCoef 0.2965 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  404 | Updates:  101 | Time/step: 0.5058 | Tok/sec=  8098.50 | Loss: 2.6792 / log-ppl: 14.5735 | Grad-Norm 3.8913 | ClipCoef 0.2570 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  408 | Updates:  102 | Time/step: 0.4946 | Tok/sec=  8281.12 | Loss: 2.2698 / log-ppl: 9.6772 | Grad-Norm 3.6531 | ClipCoef 0.2737 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  412 | Updates:  103 | Time/step: 0.5065 | Tok/sec=  8086.75 | Loss: 2.8732 / log-ppl: 17.6943 | Grad-Norm 3.9496 | ClipCoef 0.2532 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  416 | Updates:  104 | Time/step: 0.5174 | Tok/sec=  7916.56 | Loss: 2.6107 / log-ppl: 13.6083 | Grad-Norm 3.2003 | ClipCoef 0.3125 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  420 | Updates:  105 | Time/step: 0.4848 | Tok/sec=  8449.51 | Loss: 2.2062 / log-ppl: 9.0811 | Grad-Norm 7.0546 | ClipCoef 0.1418 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  424 | Updates:  106 | Time/step: 0.4740 | Tok/sec=  8642.06 | Loss: 2.2408 / log-ppl: 9.4007 | Grad-Norm 3.9429 | ClipCoef 0.2536 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  428 | Updates:  107 | Time/step: 0.5365 | Tok/sec=  7634.91 | Loss: 2.7774 / log-ppl: 16.0775 | Grad-Norm 4.9772 | ClipCoef 0.2009 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  432 | Updates:  108 | Time/step: 0.5485 | Tok/sec=  7467.04 | Loss: 2.4433 / log-ppl: 11.5115 | Grad-Norm 3.4096 | ClipCoef 0.2933 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  436 | Updates:  109 | Time/step: 0.4956 | Tok/sec=  8264.12 | Loss: 1.5754 / log-ppl: 4.8327 | Grad-Norm 3.0768 | ClipCoef 0.3250 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  440 | Updates:  110 | Time/step: 0.4847 | Tok/sec=  8450.19 | Loss: 2.2950 / log-ppl: 9.9249 | Grad-Norm 3.2836 | ClipCoef 0.3045 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  444 | Updates:  111 | Time/step: 0.5064 | Tok/sec=  8087.83 | Loss: 2.3889 / log-ppl: 10.9012 | Grad-Norm 3.6954 | ClipCoef 0.2706 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  448 | Updates:  112 | Time/step: 0.5069 | Tok/sec=  8080.38 | Loss: 2.4403 / log-ppl: 11.4764 | Grad-Norm 3.2558 | ClipCoef 0.3071 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  452 | Updates:  113 | Time/step: 0.4851 | Tok/sec=  8443.25 | Loss: 2.5267 / log-ppl: 12.5116 | Grad-Norm 2.8152 | ClipCoef 0.3552 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  456 | Updates:  114 | Time/step: 0.4640 | Tok/sec=  8827.86 | Loss: 2.2254 / log-ppl: 9.2575 | Grad-Norm 2.9270 | ClipCoef 0.3416 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  460 | Updates:  115 | Time/step: 0.5066 | Tok/sec=  8085.06 | Loss: 3.3971 / log-ppl: 29.8778 | Grad-Norm 3.9873 | ClipCoef 0.2508 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  464 | Updates:  116 | Time/step: 0.4849 | Tok/sec=  8447.95 | Loss: 1.7537 / log-ppl: 5.7757 | Grad-Norm 2.9083 | ClipCoef 0.3438 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  468 | Updates:  117 | Time/step: 0.4963 | Tok/sec=  8253.34 | Loss: 2.5661 / log-ppl: 13.0146 | Grad-Norm 18.2955 | ClipCoef 0.0547 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  472 | Updates:  118 | Time/step: 0.5167 | Tok/sec=  7926.73 | Loss: 2.3098 / log-ppl: 10.0720 | Grad-Norm 2.6866 | ClipCoef 0.3722 | Peak-Mem 37.27GiB
